,lic_num,period
1121,2296,1998-02-27
1122,2400,1998-02-27
1123,2453,1998-02-27
1124,257,1998-02-27
1125,2732,1998-02-27
1126,2969,1998-02-27
1127,2981,1998-02-27
1128,3153,1998-02-27
1129,678,1998-02-27
1130,2078,1998-02-20
1131,2591,1998-02-20
1132,3040,1998-02-20
1133,764,1998-02-20
1134,1199,1998-02-10
1135,1620,1998-02-10
1136,2187,1998-02-10
1137,2572,1998-02-10
1138,1311,1998-02-07
1139,1727,1998-02-07
1140,2875,1998-02-07
1141,1247,1998-02-04
1142,1553,1998-02-04
1143,2775,1998-02-04
1144,2861,1998-02-04
