,lic_num,period
2245,966,1993-06-07
2246,445,1993-06-05
2247,375,1993-05-31
2248,1028,1993-05-26
2249,1785,1993-05-26
2250,864,1993-05-26
2251,890,1993-05-26
2252,925,1993-05-26
2253,1825,1993-05-21
2254,1429,1993-05-05
2255,1744,1993-05-05
2256,910,1993-04-29
2257,1154,1993-04-28
2258,1177,1993-04-28
2259,1256,1993-04-28
2260,1306,1993-04-28
2261,455,1993-04-28
2262,468,1993-04-28
2263,1042,1993-04-23
2264,1299,1993-04-22
2265,1175,1993-04-21
2266,1208,1993-04-21
2267,1248,1993-04-21
2268,1254,1993-04-21
2269,748,1993-04-21
2270,801,1993-04-21
2271,973,1993-04-21
2272,975,1993-04-21
2273,1195,1993-03-23
2274,1030,1993-03-09
2275,1725,1993-03-09
2276,557,1993-03-09
2277,613,1993-03-09
2278,616,1993-03-09
2279,754,1993-03-09
2280,755,1993-03-09
2281,1645,1993-02-17
2282,1161,1993-01-04
2283,1591,1993-01-02
2284,1140,1992-12-08
2285,863,1992-12-08
2286,284,1992-11-13
2287,1349,1992-10-27
2288,1225,1992-10-14
2289,1032,1992-10-07
2290,1033,1992-10-07
2291,1078,1992-10-07
2292,1085,1992-10-07
2293,1092,1992-10-07
2294,1096,1992-10-07
2295,1098,1992-10-07
2296,1099,1992-10-07
2297,1120,1992-10-07
2298,1129,1992-10-07
2299,1130,1992-10-07
2300,1131,1992-10-07
2301,1150,1992-10-07
2302,1157,1992-10-07
2303,1229,1992-10-07
2304,1243,1992-10-07
2305,1332,1992-10-07
2306,1335,1992-10-07
2307,1375,1992-10-07
2308,1393,1992-10-07
2309,550,1992-10-07
2310,569,1992-10-07
2311,580,1992-10-07
2312,585,1992-10-07
2313,597,1992-10-07
2314,601,1992-10-07
2315,649,1992-10-07
2316,659,1992-10-07
2317,662,1992-10-07
2318,663,1992-10-07
2319,675,1992-10-07
2320,677,1992-10-07
2321,681,1992-10-07
2322,687,1992-10-07
2323,693,1992-10-07
2324,712,1992-10-07
2325,713,1992-10-07
2326,714,1992-10-07
2327,738,1992-10-07
2328,739,1992-10-07
2329,762,1992-10-07
2330,773,1992-10-07
2331,774,1992-10-07
2332,782,1992-10-07
2333,792,1992-10-07
2334,802,1992-10-07
2335,805,1992-10-07
2336,814,1992-10-07
2337,815,1992-10-07
2338,819,1992-10-07
2339,827,1992-10-07
2340,845,1992-10-07
2341,847,1992-10-07
2342,848,1992-10-07
2343,850,1992-10-07
2344,884,1992-10-07
2345,885,1992-10-07
2346,886,1992-10-07
2347,916,1992-10-07
2348,921,1992-10-07
2349,961,1992-10-07
2350,972,1992-10-07
2351,980,1992-10-07
2352,983,1992-10-07
2353,995,1992-10-07
2354,1262,1992-08-14
2355,1026,1992-08-04
2356,1045,1992-08-04
2357,175,1992-08-04
2358,432,1992-08-04
2359,765,1992-08-04
2360,1209,1992-07-24
2361,1314,1992-07-12
2362,1286,1992-07-09
2363,1055,1992-06-26
2364,1457,1992-06-26
2365,530,1992-06-26
2366,551,1992-06-26
2367,619,1992-06-26
2368,789,1992-06-26
2369,878,1992-06-26
2370,1374,1992-06-07
2371,717,1992-04-02
2372,1023,1992-03-11
2373,1066,1992-03-11
2374,1077,1992-03-11
2375,1392,1992-03-11
2376,682,1992-03-11
2377,711,1992-03-11
2378,742,1992-03-11
2379,785,1992-03-11
2380,932,1992-03-11
2381,994,1992-03-11
2382,517,1992-03-08
2383,222,1992-01-09
2384,1010,1991-12-28
2385,1015,1991-12-28
2386,1021,1991-12-28
2387,1074,1991-12-28
2388,1179,1991-12-28
2389,556,1991-12-28
2390,768,1991-12-28
2391,769,1991-12-28
2392,859,1991-12-28
2393,862,1991-12-28
2394,867,1991-12-28
2395,868,1991-12-28
2396,893,1991-12-28
2397,897,1991-12-28
2398,954,1991-12-28
2399,955,1991-12-28
2400,957,1991-12-28
2401,472,1991-11-07
2402,244,1991-01-22
